Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,4,6,-
Narration,-,-,[수신 전화 - 프레이야 레가토],-,1,-,-,-
Player,-,-,프레이야네?,-,1,-,-,-
Narration,-,-,전화를 받는다.,-,1,-,-,-
Player,t,-,여보세요?,-,2,-,-,-
Freyja,t,-,혹시... 우리 저번에 같이 걸었던 숲길... 기억나?,2_0,2,-,-,-
Player,t,-,당연하지.,2_0,2,-,-,-
Freyja,t,-,오늘... 그 숲길 앞에서 숲속의 작은 공연이 열리는데.,2_0,2,-,-,-
Freyja,t,-,저번에... 공연 참가 신청을 받았어.,2_0,2,-,-,-
Freyja,t,-,내가... 그 공연에 참가 신청을 했는데…,2_0,2,-,-,-
 Freyja,t,-,혹시… 오늘 공연에서 나랑 같이 공연해 줄 수… 있을까?,2_0,2,-,-,-
Player,t,-,나… 나랑? 진짜 괜찮아?,2_0,2,-,-,
Freyja,t,-,"…응. 전문적인 공연이라기보다는... \n관객과 공연자가 함께 즐기는 분위기의 공연이라, 아마추어팀도 많아.",2_0,2,-,-,
Freyja,t,-,내 바이올린 연주에 맞춰… 리코더 연주를 해줬으면 해.,2_0,2,-,-,-
Player,t,-,"좋아. 그런 자연 친화적인 무대, 꼭 한 번쯤 서보고 싶었어.",2_0,2,-,-,-
Freyja,t,-,그럼... 이따 무대 앞에서 봐! \n곡은 우리가 연습실에서 연습했던... 그 곡들이야.,2_1,2,-,-,-
Narration,-,-,전화가 끊겼다.,-,1,-,16,-
Player,-,-,프레이야와 무대에서 공연이라니… ,-,1,-,-,-
Narration,-,-,숲길 앞 공연 장소에 도착한 뒤 공연팀 대기 장소에서 프레이야와 기다린다.,2_0,3,-,-,-
Narration,-,-,"앞선 공연팀들의 공연이 끝나고, 우리의 차례가 다가온다.",2_0,3,-,-,-
Player,-,-,곧 있으면 우리 차례네… \n오늘따라 조금 떨리는걸…,2_0,3,-,-,-
Freyja,-,-,걱정하지 마. 내가 잘 이끌어줄 테니까.,2_1,3,-,-,-
Narration,-,-,사회자가 우리를 부르자 프레이야와 같이 나간다. \n이윽고 프레이야의 연주가 시작된다.,2_3,3,-,-,-
Narration,-,-,나 또한 프레이야의 바이올린 선율에 맞춰 리코더를 불기 시작한다.,2_3,3,-,-,-
Narration,-,-,프레이야가 곡을 이끌어주니까... 나도 안정적으로 연주하고 있어…!,2_3,3,-,-,-
Narration,-,-,"곡의 하이라이트, 서로의 눈을 마주본다.",2_3,3,-,-,-
Narration,-,-,프레이야의 눈을 본 순간 느낄 수 있었다.,2_3,3,-,-,-
Narration,-,-,"프레이야의 연주가 내 연주를 이끌어 주듯이, \n내 연주 또한 프레이야의 연주를 받쳐 주고 있었다.",2_3,3,-,-,-
Narration,-,-,프레이야 한 사람만으로는 할 수 없는… '둘'이기에 할 수 있는 연주.,2_3,3,-,-,-
Narration,-,-,"이내 공연이 끝나고, 사람들의 박수와 함성소리가 들린다.",2_3,3,-,-,-
Freyja,-,-,고마워. 나랑 연주해줘서.,2_1,3,-,-,-
Player,-,-,나야말로. 너와 함께 연주할 수 있어서 영광이었어.,2_0,3,-,-,-
Narration,-,-,"마지막팀의 연주가 끝나고, 무대 위에는 아무도 남아있지 않았다.",-,4,-,-,-
Narration,-,-,"나와 프레이야, 둘만이 남아 조용히 달이 떠있는 하늘을 바라본다.",-,4,-,-,-
Player,-,-,...조용하네.,-,4,-,-,-
Freyja,-,-,나… 이렇게 즐겁게 연주한건 처음인 것 같아.,-,4,-,-,-
Freyja,-,-," 그리고 말이야, 이렇게 리코더와 단둘이 공연할줄은 꿈에도 몰랐어.",-,4,-,-,-
Narration,-,-,프레이야가 미소를 지으며 나를 본다.,-,4,-,-,-
Freyja,-,-,처음 만난 이후로... 리코더 특훈부터 해서 오늘 공연까지... \n정말... 많은일들이 있었네.,-,4,-,-,-
Narration,-,-,프레이야가 내 리코더를 바라보며 천천히 말한다.,-,4,-,-,-
Freyja,-,-,나는 말이야…,-,4,-,-,-
Freyja,-,-,이 소리가 나에게 섞이기 시작한 순간부터... \n한순간도 떨리는 감정이 가라앉지 않았어.,-,4,-,-,-
Narration,-,-,프레이야의 말을 조용히 듣는다.,-,4,-,-,-
Freyja,-,-,처음엔 몰랐어. 이게 널 향한 마음인건지… 그저 흘러가는 감정인건지.,-,4,-,-,-
Freyja,-,-,"근데 말야, 이젠 숨기는 게… 더 이상 안 돼.",-,4,-,-,-
Narration,-,-,"프레이야가 서서히 다가온다. \n눈은 여전히 침착하지만, 목소리는 살짝 떨려 있다.",-,4,-,-,-
Freyja,-,-,"우리 엘프는… 진심을 전할 때, 이런 방식으로 말해.",-,4,-,-,-
Narration,-,-,프레이야가 천천히 손을 뻗어 나의 목을 감싼다.,-,4,-,-,-
Freyja,-,-,말이 아니라... 마음으로.,-,4,-,-,-
Narration,-,-,프레이야가 조용히 다가와 입맞춤을 한다.,-,4,-,-,-
Narration,-,-,"부드러운 달빛이 공연장을 가득 비추고, 두 사람을 감싸안는다.",-,4,-,-,-
Narration,-,-,"입맞춤이 끝나고, 프레이야가 작게 웃으며 고개를 든다.",-,4,-,-,-
 Freyja,-,-,이게... 내 마음이야.,-,4,-,-,-
Narration,-,-,"[해피엔딩: 달빛 아래, 선율처럼 흐른 너와 나]",-,5,-,-,-
