Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,신분증에 적혀있던 주소의 집. 비밀번호를 누르고 들어간다.,-,1,2,-,-
Player,-,-,혼자 살기엔 충분하네.,-,2,-,-,-
Narration,-,-,침대에 누워 스마트폰을 바라본다.,-,2,-,-,-
Player,-,-,하… 이게 현실이라니.,-,2,-,-,-
Narration,-,-,그렇게 며칠이 지났다.,-,3,-,-,-
Player,,-,이세계에 와서도 일만 하게 생겼네...,-,4,-,-,-
Player,-,-,"그러고 보니... 여기 온 첫날 본 그 사람. 아니, 엘프…",-,4,-,-,-
Narration,-,-,스마트폰에 저장된 연락처를 본다.,-,4,-,-,-
Narration,-,-,[연락처 : 프레이야 레가토],-,4,-,-,-
Player,-,-,조금 차갑긴 했지만… \n오히려 그게 매력으로 보일 정도로 예뻤는데… ,-,4,-,-,-
Narration,-,-,잠시 고민한다.,-,4,-,-,-
Narration,-,-,궁금한 거 있으면 연락하라고 했으니… 한번 연락해볼까...?,-,4,-,-,-
Narration,-,-,전화 버튼을 누른다.,-,4,-,-,-
Narration,t,-,[프레이야 님의 연락처로 전화를 걸고 있습니다...],-,5,-,8,-
Freyja,t,-,...여보세요?,2_0,5,-,-,-
Player,t,-,안녕하세요…? 저번에 횡단보도 근처에서 구해주셨던 사람인데요…,2_0,5,-,-,-
Player,t,-,궁금한 게 있어서요…,2_0,5,-,-,-
Freyja,t,-,아… 그 전생자? 기억나.,2_0,5,,,-
Freyja,t,-,궁금한 거라…,2_0,5,-,-,-
Freyja,t,-, 근데… 너 몇 살?,2_0,5,-,-,-
Player,t,-,예? 23살인데요…?,2_0,5,-,-,-
Freyja,t,-,…그래? 엘프 나이로 220살은 인간 나이로 22살이야. \n말 편하게 해도 돼.,2_0,5,-,-,-
Narration,t,-,오히려 내가 연상…?,2_0,5,-,-,-
Narration,t,-,아니다… 220살이면 그렇지도 않네…,2_0,5,-,-,-
Player,t,-,어… 그럴게.,2_0,5,-,-,-
Player,t,-,아무튼 물어보려던 건 말이야…,2_0,5,-,-,-
Player,t,-,그때 천재성…? \n그게 뭔지 설명을 제대로 못 들어서…,2_0,5,-,-,-
Freyja,t,-,아… 그거...? 전생자니까 모르긴 하겠지.,2_0,5,-,-,-
Freyja,t,-,"간단해. 이곳의 사람, 엘프, 수인 같은 \n다양한 종족의 존재들은 태어날 때부터 천재야.",2_0,5,-,-,-
Freyja,t,-,물론… 단 한 가지씩만.,2_0,5,-,-,-
Freyja,t,-,…직접 보여줄까?,2_1,5,-,-,-
Player,t,-,보여준다고?,2_0,5,-,-,-
Freyja,t,-,"...응. 처음 만난 날, 바이올린을 켜던 아이... 기억나?",2_0,5,-,-,-
Player,t,-,"응, 기억나. 엄청나게 바이올린을 잘 연주하던 소녀 말이야?",2_0,5,,,-
Freyja,t,-,나도 그 아이처럼... 바이올린 연주의 천재성을 가지고 태어났어. ,2_0,5,,,-
Freyja,t,-,시간 있으면 내가 소속되어 있는 악단 공연장으로 와. \n연주하는 거... 보여줄 테니까.,2_0,5,-,-,-
Player,t,-,진짜? 언제까지 가면 될까?,2_0,5,-,-,-
Freyja,t,-,지금부터 저녁 전까지는... 악단 공연이 없는 시간이야. ,2_0,5,-,-,-
Player,t,-,아! 그럼 바로 출발할게!,2_0,5,-,-,-
Freyja,t,-,...알겠어.,2_0,5,-,-,-
Narration,-,-,통화가 종료된다.,-,4,-,16,-
Narration,-,-,프레이야도 바이올린 천재였다니…,-,4,-,-,-
Narration,-,-, 그래서 그때 크게 놀라지 않았구나…,-,4,-,-,-
Player,-,-,아무튼! 빨리 준비해서 가자.,-,4,-,-,-
Player,-,-,사실 연주하는 것보다…,-,4,-,-,-
Player,-,-,미녀 엘프의 얼굴을 다시 한 번 보고 싶어!!,-,4,-,-,-
Narration,-,-,엘펜 공연장에 도착했다.,-,6,-,-,-
Narration,-,-,공연장 안에는 악기를 등에 메고 돌아다니는 사람들이 보인다.,-,6,-,-,-
Narration,-,-,저 사람들도 다 천재 연주가들인 걸까…,-,6,-,-,-
Narration,-,-,공연장을 돌아다니며 프레이야를 찾아본다.,-,6,-,-,-
Narration,-,-,멀리서 시크하게 한 손으로 인사하는 프레이야가 보인다.,2_1,6,-,-,-
Freyja,-,-,...금방 왔네.,2_0,6,-,-,-
Freyja,-,-,우선... 내가 사용하고 있는 연습실로 같이 갈래?,2_0,6,-,-,-
Player,-,-,"좋아, 가자.",2_0,6,-,-,-
Narration,-,-,프레이야를 따라간다.,2_0,6,-,-,-
