Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,-,전화 송신음,-
Narration,-,-,[수신 전화 - 프레이야 레가토],-,1,-,-,-
Player,-,-,프레이야한테서 전화가 왔네...? 무슨 일이지?,-,1,-,-,-
Player,-,-,일단 받아보자.,-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Player,t,-,여보세요?,-,2,-,-,-
Freyja,t,-, ...프레이야야.,2_0,2,-,-,-
Player,t,-,무슨 일로 연락했어?,2_0,2,-,-,-
Freyja,t,-,...시간 있으면 공연장으로 와줘.,2_0,2,-,-,-
Player,t,-,응? 지금? 갑자기?,2_0,2,-,-,-
Freyja,t,-,…리코더도 얼마나 늘었는지 볼 겸.,2_0,2,-,-,-
Player,t,-,"알았어, 바로 갈게.",2_0,2,-,-,-
Narration,-,-,전화를 끊는다.,-,1,-,통화 종료음,-
Narration,-,-,갑자기 전화로 불러낸다고…?,-,1,-,-,-
Player,-,-,이거… 혹시…,-,1,-,-,-
Player,-,-,고백하려는 거 아니야?!,-,1,-,-,-
Player,-,-,그럼 난 지구 최초로 엘프에게 고백받은 사람이 되는 건가?,-,1,-,-,-
Player,-,-,좋아! 당장 가야겠어!!,-,1,-,-,-
Narration,-,-,공연장에 매우 빠르게 도착했다.,-,3,-,-,-
Player,-,-,프레이야!,2_0,3,-,-,-
Narration,-,-,프레이야를 향해 가볍게 손을 흔든다.,2_0,3,-,-,-
Freyja,-,-,아… 와줬구나.,2_0,3,-,-,-
Freyja,-,-,우선... 연습실로 가자.,2_0,3,-,-,-
Freyja,-,-,조금… 할 말이 있어서.,2_0,3,-,-,-
Narration,-,-,나 진짜로 고백받는 건가…!,2_0,3,-,심장 두근,-
Narration,-,-,프레이야와 함께 연습실로 왔다.,2_0,4,-,-,-
Player,-,-,프레이야. 그래서... 나한테 할 말이 뭐야...?,2_0,4,-,-,-
Player,-,-,혹시…,2_0,4,-,-,-
Narration,-,-,고백이지? 이건 고백이지? 고백! 고백!,2_0,4,-,-,-
Freyja,-,-,...우선 리코더부터 불어봐. 연습했지?,2_0,4,-,-,-
Freyja,-,-,얼마나 늘었는지... 봐줄게.,2_0,4,-,-,-
Player,-,-,어…? 어…,2_0,4,-,-,-
Narration,-,-,…고백이 아니었나 보다.,2_0,4,-,-,-
Narration,-,-,리코더를 불기 시작한다.,2_0,4,-,-,-
Narration,-,-,"리코더를 부는 동안, 프레이야는 눈을 감고 소리에 집중한다.",2_0,4,-,-,-
Freyja,-,-,역시… 너의 리코더에는 감동이 있어.,2_1,4,-,-,-
Freyja,-,-,투박하지만... 마음을 울리는... 그런 감동.,2_1,4,-,-,-
Narration,-,-,이젠 날 놀리는 건지... 진심인 건지... 구별을 못 하겠네…,2_0,4,-,-,-
Narration,-,-,갑자기 프레이야가 말없이 바이올린을 꺼내 든다. ,2_3,4,-,-,-
Narration,-,-,그리고 엄청난 실력으로 바이올린을 연주한다.,2_3,4,-,-,-
Narration,-,-,프레이야의 바이올린 연주가 끝났다.,2_3,4,-,-,-
Freyja,-,-,물론… 넌 엄청 잘 불진 않아.,2_0,4,-,-,-
Narration,-,-,…역시 놀리는 거였나?,2_0,4,-,-,-
Freyja,-,-,하지만… 개성이 있어. 특별하지.,2_1,4,-,-,-
Freyja,-,-,내 바이올린 연주 실력은 당연히 너보다 월등해.,2_0,4,-,-,-
Freyja,-,-,그렇지만… 내 연주는 너와는 다르게... 특별함이 느껴지지 않아,2_0,4,-,-,-
Freyja,-,-,…바이올린 연주에 천재성을 가진 다른 바이올리니시트와 똑같지.,2_4,4,-,-,-
Freyja,-,-,화려하고 정확하지만…,2_4,4,-,-,-
Freyja,-,-,개성이 있지도… 특별하지도... 않아.,2_4,4,-,-,-
Freyja,-,-,내 연주도 너처럼… 특별함을 찾을 수 있을까?,2_0,4,-,-,-
Player,-,-,프레이야. 너에게 궁금한 게 있어. ,2_0,4,-,-,-
Player,,,천재성을 가진 사람들은... 노력하지 않아?,2_0,4,,,-
Freyja,-,-,...그런 사람들도 있겠지. 하지만.,2_0,4,-,-,-
Freyja,-,-,나는… 정말 노력해왔어. \n수많은 천재들에게 가려져… 사라지지 않기 위해서.,2_0,4,-,-,-
Freyja,-,-,정말… 많이… 노력했어…,2_0,4,-,-,-
Player,-,-,나는 그럼... 너의 노력을 믿었으면 좋겠어.,2_0,4,-,-,-
Player,-,-,지금까지 쌓아온 노력이야말로 \n진짜 너의 이야기이자 특별함이라고 생각해.,2_0,4,-,-,-
Player,-,-,그 모든 노력들이 너만의 연주에 차별점을 만들어 줄 거야. ,2_0,4,-,-,-
Player,-,-,"지금은 그렇지 않다고 생각해도, 언젠가 꼭 그럴 거야.",2_0,4,-,-,-
Narration,-,-,대답을 듣자 프레이야의 눈이 반짝인다.,2_1,4,-,-,-
Freyja,-,-,…좋은 말이네.,2_1,4,-,-,-
Freyja,-,-,…고마워.,2_1,4,-,-,-
