Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,2,6,-
Narration,-,-,[수신 전화 - 아델라이트 종합병원 레지던트 진예인],-,1,-,-,-
Player,-,-,예인 씨 전화네?,-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Jin Yein,t,-, 잘 지냈어요? 혹시… 오늘 저녁에 시간 비어요?,1_0,2,-,-,-
Player,t,-,음… 특별한 일은 없어요.,1_0,2,-,-,-
Jin Yein,t,-,"오늘 야간 축제가 열리는 날이거든요! \n풍등도 띄우고, 불꽃놀이도 있고. 같이 가면 좋을 것 같아서요.",1_1,2,-,-,-
Player,t,-,"좋아요. 그런 축제, 저도 한 번쯤은 꼭 가보고 싶었어요.",1_0,2,-,-,-
Jin Yein,t,-,그럼 이따 광장에서 봐요!,1_1,2,-,-,-
Narration,t,-,스마트폰 너머로 들리는 예인 씨의 목소리가 평소보다 더 들떠 보인다.,1_1,2,-,-,-
Narration,-,-,전화가 끊긴다.,-,1,-,16,-
Narration,-,-,늦은 오후.,-,3,-,-,-
Player,-,-,곧 있으면 약속한 시간이네…,-,3,-,-,-
Narration,-,-,예인 씨와 같이 축제 구경이라니… 조금 떨린다.,-,3,-,-,-
Narration,-,-,이제 축제 장소로 가야겠어.,-,3,-,-,-
Narration,-,-,축제 중인 광장에 도착했다.,-,4,7,-,-
Narration,-,-,"축제 분위기 속, 예인 씨가 손을 흔들며 다가온다.",1_0,4,-,-,-
Jin Yein,-,-,이쪽이에요! 빨리 오셨네요?,1_1,4,-,-,-
Player,-,-,왠지 오늘은 평소보다 더 예뻐 보이시네요?,1_0,4,-,-,-
Jin Yein,-,-,그런 말... 갑자기 들으면… ,1_4,4,-,-,-
Narration,-,-,예인 씨의 얼굴이 빨개졌다.,1_4,4,-,-,-
Jin Yein,-,-,아… 아무튼! 우리도 축제 구경하러 가볼까요?,1_4,4,-,-,-
Player,-,-,"네, 구경하러 가요!",1_0,4,-,-,-
Narration,-,-,즐겁게 웃으며 축제 구경을 시작한다. \n반짝이는 불빛들 속에서 음식 부스를 함께 둘러본다.,1_0,4,-,-,-
Player,-,-,이거 맛있어 보이네요. 우리 이것도 하나 먹어봐요.,1_0,4,-,-,-
Player,-,-,"자, 아~",1_0,4,,,-
Jin Yein,-,-,아...,1_0,4,-,-,-
Jin Yein,-,-,아~,1_0,4,-,-,-
Narration,-,-, 먹여준 음식을 예인 씨가 맛있게 받아먹는다.,1_1,4,-,-,-
Jin Yein,-,-,와... 맛있다! 이게 축제 음식…!,1_1,4,-,-,-
Narration,-,-,"잠시 후, 풍등 띄우기 부스.",1_0,5,-,-,-
Jin Yein,-,-,여기 있는 종이에 소원을 적어서 등불에 달면 소원이 이뤄진다고 해요.,1_0,5,-,-,-
Narration,-,-,예인 씨가 종이에 열심히 무언가를 적어 풍등에 매단다.,1_0,5,-,-,-
Narration,-,-,나도 소원을 적어 풍등에 매단다.,1_0,5,-,-,-
Narration,-,-,풍등이 하늘 높이 날아간다.,1_0,5,-,-,-
Player,-,-,소원으로 어떤 내용 적었어요?,1_0,5,-,-,-
Jin Yein,-,-,그건 비밀~ 그런 건 말하면 안 돼요!,1_1,5,-,-,-
Player,-,-,에이~ 궁금한데요? 힌트라도 조금만~,1_0,5,-,-,-
Jin Yein,-,-,음… 그럼... 나중에 알려줄게요. 진짜 중요한 순간에.,1_0,5,-,-,-
Narration,-,-,예인 씨와 함께 하늘을 보며 멀어져가는 풍등을 지켜본다.,1_0,5,-,-,-
Narration,-,-,펑~! 퍼버벙~!,1_0,5,-,17,-
Narration,-,-,"불꽃놀이가 시작되고, 수많은 불빛이 하늘을 수놓기 시작한다.",1_0,5,-,-,-
Narration,-,-,두 사람은 말없이 터지는 불꽃을 한참 동안 바라본다.,1_0,5,-,-,-
Narration,-,-,예인 씨가 갑자기 고개를 돌려 쳐다본다.,-,6,-,-,-
Jin Yein,-,-,아까 등불에 뭐라고 적었는지 궁금하다고 했죠?,-,6,-,-,-
Player,-,-,기억하고 있었네요?,-,6,-,-,-
Jin Yein,-,-,'이 사람과 사귀게 해주세요.' 라고 썼어요.,-,6,-,-,-
Narration,-,-,내 심장이 터질 듯이 두근거리기 시작한다.,-,6,-,4,-
Jin Yein,-,-,예전에…  '친구'라고 말을 돌린 적이 있었죠? \n사실… 그때는 이 감정이 뭔지 정확히 몰랐나 봐요. ,-,6,-,-,-
Jin Yein,-,-,"처음이라서, 마냥 걱정이 됐어요. 이 사람이 내 마음을 알게 되면 \n혹시라도 멀어질까 봐. 그래서 자꾸 '친구'라고 말했던 것 같아요",-,6,-,-,-
Jin Yein,-,-,하지만 지금은… 확실하게 말할 수 있어요,-,6,-,-,-
Jin Yein,,-,"좋아해요. \n당신을, 정말로.",,6,,,-
Narration,-,-,"불꽃놀이가 절정을 이루며, 그녀의 눈동자에도 불빛이 반사된다.",-,6,-,-,-
Narration,-,-,조용히 그녀의 손을 잡는다.,-,6,-,-,-
Player,-,-,"저도, 좋아하고 있어요.",-,6,-,-,-
Player,-,-,고마워요. 그리고... 미안해요. 먼저 말하게 해서…,-,6,-,-,-
Narration,-,-,그녀와 눈이 마주친다.,-,6,-,-,-
Narration,-,-,그녀에게 서서히 다가가 눈을 감고 조용히 입을 맞춘다.,-,6,-,-,-
Narration,-,-,서로의 감정이 오롯이 흐르는 밤. 밤하늘을 수놓는 수많은 불꽃이 보인다.,-,6,-,-,-
