Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Jin Yein,-,-,괜찮으세요?!!,1_4,1,1,-,-
Narration,-,-,으… 머리야… 분명 퇴근하는 길에…,1_4,1,-,-,-
Narration,-,-,달려오는 차에 부딪힌 줄 알았는데…,1_4,1,-,-,-
Narration,-,-,정신을 차려보니 갑자기 낮이라도 된 것처럼 해가 떠있고…,1_4,1,-,-,-
Narration,-,-,내 앞에 이 여자는 누구지…? 이 여자가 날 구해준 건가...?,1_4,1,-,-,-
Player,-,-,금발에 긴 생머리…,1_4,1,-,-,-
Narration,-,-,정신없는 상황에서 그녀를 본 순간 느껴진 단 한 가지.,1_4,1,-,-,-
Narration,-,-,가슴이 두근거린다…,1_4,1,-,4,-
Narration,-,-,"23년 만에 처음으로 느껴보는 감정, 설렘…",1_4,1,-,-,-
Jin Yein,-,-,대답을 못하는 거 보니까 충격이 크신가 봐요!,1_4,1,-,-,-
Jin Yein,-,-,다른 증상이 더 나타날 수도 있어요. 거기 휴대폰 들고 계신 분! \n구급차 좀 불러주세요!,1_4,1,-,-,-
Jin Yein,-,-,저기요! 괜찮으세요? 대답 좀 해보세요!,1_4,1,-,-,-
Player,-,-,예…,1_4,1,-,-,-
Jin Yein,-,-,괜찮으세요?! 말할 수 있으신가요?!,1_4,1,-,-,-
Player,-,-,예쁘다…,1_4,1,-,-,-
Jin Yein,-,-,…네?,1_4,1,-,-,-
Narration,-,-,이런… 속으로 생각한 게 입 밖으로 나와버렸잖아…?,1_4,1,-,-,-
Player,-,-,아… 아무것도 아닙니다…,1_4,1,-,-,-
Jin Yein,-,-,"네…? 아, 아무튼 괜찮으신 거죠?",1_4,1,-,-,-
Player,-,-,네…! 덕분에요…! 정말 감사합니다!,1_0,1,-,-,-
Jin Yein,-,-,"아뇨, 당연히 해야 할 일인걸요.",1_1,1,-,-,-
Jin Yein,-,-,괜찮으신 것 같으니 저는 그만 가볼게요.,1_0,1,-,-,-
Player,-,-,"저, 저기! 연락처를 받을 수 있을까요?",1_0,1,-,-,-
Jin Yein,-,-,연락처요? 아… 네! 이 번호로 연락 주세요.,1_0,1,-,-,-
Narration,-,-,그녀가 명함을 건네주었다.,1_0,1,-,-,-
Jin Yein,-,-,혹시라도 아프거나 몸이 이상하면 꼭 연락 주세요!,1_0,1,-,-,-
Player,-,-,아… 네…!,1_0,1,-,-,-
Jin Yein,-,-,그럼 이만 가볼게요!,1_1,1,-,-,-
Narration,-,-,그녀가 떠난다.,-,1,-,7,-
Player,-,-,…정말 바쁜 사람인가 보네.,-,1,-,-,-
Narration,-,-,자리에서 일어나 주변을 둘러본다.,-,1,-,-,-
Narration,-,-,"거리의 모습이 무언가 낯설다. 표지판을 읽을 수는 있지만, \n글씨체가 뭔가 독특하고 이질적이다.",-,1,-,-,-
Narration,-,-,횡단보도의 선도 정렬이 완벽하다. 게다가 주변에 보이는 이 집들은 뭐지? \n마치 만화에서나 볼 법한…,-,1,-,-,-
Narration,-,-,사람들이 입는 옷은 평소 보던 것과 비슷한데… \n귀가 뾰족한 사람도 있고… 꼬리가 달린 사람도 있네…?,-,1,-,-,-
Narration,-,-,???: 저 사람… 갑자기 저기에 나타나지 않았어? \n???: 전생자는... 아니겠지…? ???: 설마… 그거 역사책에서나 나오는 거잖아…,-,1,-,3,-
Player,-,-,전생자...?,-,1,-,-,-
Narration,-,-,만화에서였나... 분명 어디선가 들은 적이 있는 단어인데…,-,1,-,-,-
Narration,-,-,방금 중학생 정도 돼 보이는 아이가 지나가면서 중얼거리는 말… 전부 학부 수준의 \n고급 수식들이다… 내가 겨우겨우 이해했던 공학 수식들을 저 나이에…,-,1,-,-,-
Narration,-,-,조금 떨어진 곳에서는 바이올린을 연주하는 소리가 들린다.,-,1,-,-,-
Narration,-,-,소리가 들리는 쪽을 바라보니 연주자가 눈을 감은 상태로 주변의 분위기에 따라 \n연주하는 곡의 느낌을 조금씩 바꾸며 연주하고 있었다.,-,1,-,15,-
Narration,-,-,즉흥 연주 같은데... 이 정도의 실력이라니…,-,1,-,-,-
Narration,-,-,"이 거리, 이곳의 사람들. 역시나 내가 알던 세상과는 다르다. \n누구 하나 평범한 사람이 없다.",-,1,-,-,-
Narration,-,-,주머니에서 드는 이질감에 주머니 속을 살핀다.,-,1,-,-,-
Narration,-,-,[내 사진이 붙어있는 신분증] [도어락 비밀번호가 쓰여 있는 종이] [스마트폰],-,1,-,-,-
Narration,-,-,"완전히 비현실적이지도 않고, 그렇다고 현실적이지도 않은 이곳. \n논리적이면서도 비논리적인 세계.",-,1,-,-,-
Narration,-,-,난 아무래도... '이세계'에 오게된 것 같다.,-,1,-,-,-
Player,-,-,우선 신분증에 적혀있는 주소로 가볼까…,-,1,-,-,-
Player,-,-,아! 가기 전에…,-,1,-,-,-
Narration,-,-,스마트폰을 본다.,-,1,-,-,-
Player,-,-,내… 스마트폰인가?,-,1,-,-,-
Narration,-,-,스마트폰을 켜자 보이는 화면. '식당 알바 모집 중',-,1,-,-,-
Player,-,-,"식당 알바라… 하긴, 여기서 돈을 벌려면 알바라도 해야지.",-,1,-,-,-
Player,-,-,가는 길에 알바 할 수 있는지 물어보고 가야겠다…,-,1,-,-,-
