Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,2,6,-
Narration,-,-,[수신 전화 - 루],-,1,-,-,-
Narration,t,-,전화를 받는다.,-,2,-,-,-
Player,t,-,여보세요?,-,2,-,-,-
Ru,t,-,오늘 뭐해?,3_0,2,-,-,-
Ru,t,-,나... 너한테 할 말이 있는데…,3_0,2,-,-,-
Ru,t,-,우리 저번에 갔던 바닷가 해변으로 와줄 수 있어?,3_0,2,-,-,-
Narration,t,-,누나… 바다를 진짜 좋아하는구나...,3_0,2,-,-,-
Player,t,-,"알았어, 금방 갈게.",3_0,2,-,-,-
Narration,-,-,전화를 끊는다.,-,1,-,16,-
Narration,-,-,"붉은 석양이 수평선 끝에 걸려 있다. \n파도는 잔잔히 밀려오고, 저 멀리 갈매기 소리가 희미하게 들린다.",-,3,5,-,-
Ru,-,-,"히히, 오늘은 빨리 왔네?",3_2,3,-,-,-
Player,-,-,  원래 빨리 오거든?,3_0,3,-,-,-
Narration,-,-,"루와 함께 모래 위를 맨발로 걷는다. \n조개껍데기가 발밑에서 바삭거리고, 부드럽게 젖은 모래의 감촉이 전해진다.",3_0,3,-,-,-
Player,-,-,그나저나… 오늘은 같이 놀려고 부른 것 같지도 않고… 할 말이 있다고?,3_0,3,-,-,-
Ru,-,-,있지… 이렇게 조용한 바다는 진짜 오랜만이야. 너무 신기하지 않아?,3_0,3,-,-,-
Narration,-,-,루가 내 목에 걸려있는 조개껍데기 목걸이를 바라본다.,3_0,3,-,-,-
Ru,-,-,오늘... 내가 해준 목걸이 하고 나왔네?,3_2,3,-,-,-
Ru,-,-,기뻐… ,3_2,3,-,-,-
Player,-,-,정말?,3_0,3,-,-,-
Ru,-,-," 응, 정말로.",3_2,3,-,-,-
Ru,-,-,사실... 이렇게 오래 기억해줄 줄 몰랐어.,3_0,3,-,-,-
Ru,-,-,이런 것들은 금방 잊힐 줄 알았거든.,3_0,3,-,-,-
Player,-,-,절대 안 잊어. 누나가 만들어 준 거니까.,3_0,3,-,-,-
Player,-,-,"그날 있었던 일도, 오늘 일도… 전부 다 기억할 거야.",3_0,3,-,-,-
Narration,-,-,잔잔한 파도 소리가 들린다.,3_0,3,-,-,-
Ru,-,-,나... 조금만 진지한 얘기 해도 될까?,3_0,3,-,-,-
Narration,-,-,고개를 끄덕인다.,3_0,3,-,-,-
Ru,-,-,처음 봤을 때부터 넌 나에게 '특별한 사람'이었어.,-,4,-,-,-
Ru,-,-,특별하지 않은 나를 특별한 사람으로 만들어주는…,-,4,-,-,-
Ru,-,-,그런 사람.,-,4,-,-,-
Player,-,-,누나...,-,4,-,-,-
Ru,-,-, 그리고 나도 너에게... 그런 특별한 사람이 될 수 있으면 좋겠다… 고 생각했어.,-,4,-,-,-
Ru,-,-,너에게 그 목걸이를 만들어 줬을 때부터… 줄곧 하고 싶었던 말이 있어.,-,4,-,-,-
Ru,-,-,좋아해… 라고.,-,4,-,-,-
Narration,-,-,짧은 침묵이 흐른다.,-,4,-,4,-
Player,-,-,루 누나.,-,4,-,-,-
Ru,-,-,응? 왜?,-,4,-,-,-
Narration,-,-,주머니에서 조개 목걸이를 꺼내 조심스럽게 누나의 목에 걸어준다.,-,4,-,-,-
Player,-,-,내가 약속했지? 다음번엔 내가 조개 목걸이 만들어주겠다고.,-,4,-,-,-
Player,-,-,누나를 생각하면서 만든 거야.,-,4,-,-,-
Player,-,-,그리고 나도 계속 하고 싶었던 말이 있어.,-,4,-,-,-
Player,-,-,지금 말하면 너무 늦은 걸까 싶지만…  ,-,4,-,-,-
Player,-,-,나도 좋아해. 누나를.,-,4,-,-,-
Narration,-,-,루의 손을 잡는다.,-,4,-,-,-
Narration,-,-,"흔들리는 노을 속, 목걸이에 걸린 조개껍데기가 반짝인다.",-,4,-,-,-
Narration,-,-,바닷바람이 두 사람 사이를 스치고 지나간다.,-,4,-,-,-
Narration,-,-,"긴 침묵 끝에, 두 사람은 천천히 서로에게 기대어 선다.",-,4,-,-,-
Narration,-,-,"붉게 물든 바다, 서늘한 바람, 잔잔한 파도.",-,4,-,-,-
Narration,-,-, 조개 목걸이를 목에 건 두 사람.,-,4,-,-,-
Narration,-,-,[해피엔딩: 조개껍질 묶어 그녀의 목에 걸고],-,5,-,-,-
