Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,신분증에 적혀있던 주소의 집. 비밀번호를 누르고 들어간다.,-,1,2,-,-
Player,-,-,혼자 살기엔 충분하네.,-,2,-,-,-
Narration,-,-,침대에 누워 스마트폰을 바라본다.,-,2,-,-,-
Narration,-,-,며칠 후.,-,3,-,-,-
Player,-,-,...잠깐만.,-,4,-,-,-
Player,-,-,생각해보니 이세계에서도 식당 알바만 하고 있잖아?,-,4,-,-,-
Narration,-,-,그러고 보니..,-,4,-,-,-
Narration,-,-,여기 온 첫날 봤었던 상어 수인…,-,4,-,-,-
Player,-,-,루… 라고 했던가…,-,4,-,-,-
Narration,-,-,스마트폰을 본다.,-,4,-,-,-
Player,-,-,심심하면 전화한다고 했었던 것 같은데…,-,4,-,-,-
Player,-,-,연락이 없네… 안 심심한가?,-,4,-,-,-
Narration,-,-,때마침 전화가 걸려온다.,-,4,-,6,-
Narration,-,-,[연락처 : 루],-,4,-,-,-
Player,-,-,호랑이도 제 말 하면 온다더니...,-,4,-,-,-
Player,-,-,물론 호랑이가 아니라 상어지만…,-,4,-,-,-
Narration,t,-,잠시 망설이다 전화 수신 버튼을 누른다.,-,5,-,-,-
Player,t,-,어… 루?,-,5,-,-,-
Ru,t,-,바로 받으라고!,3_5,5,-,-,-
Ru,t,-,"아무튼... 맞아~ 나야, 루 '누나'.",3_6,5,-,-,-
Player,t,-,무슨 일이야? 며칠 동안 연락 안 하더니.,3_5,5,-,-,-
Ru,t,-,뭐야~ 며칠 연락 안 했다고 삐졌어~?,3_6,5,-,-,-
Player,t,-,…아니거든?,3_5,5,-,-,-
Ru,t,-,"히히, 미안미안~ ",3_7,5,-,-,-
Ru,t,-,내가 일하는 편의점에서 같이 일했던 직원이 그만둬버려서~ \n한동안 너무 바빴지 뭐야?,3_7,5,-,-,-
Player,t,-,편의점? 편의점에서 일하고 있어?,3_5,5,-,-,-
Ru,t,-,"응, 지금은 편의점에서 일하고 있어.",3_5,5,-,-,-
Ru,t,-,이 누나는 편의점 일도 잘한단다~,3_7,5,-,-,-
Player,t,-,"…진짜? 아무튼, 오늘은 무슨 일로 전화한 거야?",3_5,5,-,-,-
Ru,t,-,그냥~ 심심해서?,3_5,5,-,-,-
Player,t,-,아…,3_5,5,-,-,-
Ru,t,-,는 농담이고!,3_7,5,-,-,-
Player,t,-,…?,3_5,5,-,-,-
Ru,t,-,혹시 내가 일하는 편의점에서 같이 일해볼래?,3_5,5,-,-,-
Ru,t,-,나름 이 주변에서 제일 큰 편의점 중 하나인데다가.,3_5,5,-,-,-
Ru,t,-,아까 말했다시피 같이 일하던 직원 한 명이 그만둬버려서.,3_5,5,-,-,-
Ru,t,-,알바 자리가 비었는데…,3_5,5,-,-,-
Ru,t,-,내가 너를 추천했지~,3_7,5,-,-,-
Player,t,-,뭐? 나를 추천했다고? 내가 안 하겠다고 하면 어떡하려고?,3_5,5,-,-,-
Ru,t,-,어… 시급도 잘 주는 편이고! \n사장님도 친절하시기로 소문난 편의점이라 인기가 굉장히 많은 곳이라고!,3_9,5,-,-,-
Ru,t,-,그리고…,3_5,5,-,-,-
Ru,t,-,너랑 같이 일하면... 너무 좋을 것 같아서…,3_5,5,-,-,-
Ru,t,-,아… 아무튼! 내가 사장님한테 정말 특별히 부탁한 거니까!,3_5,5,-,-,-
Ru,t,-,겁먹지 말고! 내가 일하는 편의점으로 지금 당장 와!,3_5,5,-,-,-
Player,t,-,어… 알았어…,3_5,5,-,-,-
Narration,-,-,전화가 끊겼다.,-,4,-,16,-
Player,-,-,와… 정말 천연덕스럽네…,-,4,-,-,-
Narration,-,-,그래도… 좀 귀여웠어.,-,4,-,-,-
Narration,-,-,우선 편의점에 가보고 결정하는 걸로 하자.,-,4,-,-,-
Narration,-,-,…근데 어느 편의점이지?,-,4,-,-,-
Narration,-,-,편의점을 이곳저곳 다 가봤다…,-,3,-,-,-
Player,-,-,하… 여기는… 맞겠…지?,-,6,-,-,-
Narration,-,-,꽤 큰 규모의 신식 편의점이 보인다.,-,6,-,-,-
Player,-,-,이 편의점은 꽤 크네… 마트 정도는 아니어도…,-,6,-,-,-
Narration,-,-,생긴 지 얼마 안 됐는지 건물이 깔끔하다.,-,6,-,-,-
Player,-,-,우선… 들어가 보자.,-,6,-,-,-
Narration,-,-,편의점 문이 열린다.,-,3,3,-,-
Ru,-,-,어서 오세요!,3_7,7,-,-,-
Player,-,-,루!!,3_5,7,-,-,-
Ru,-,-,와! 금방 왔네?,3_5,7,-,-,-
