Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Player,-,-,…?,-,1,-,-,-
Player,-,-,여기는… 사무실?,-,1,-,-,-
Player,-,-,내가 왜 사무실에 있지…? 난 알바만 하고 있는데…?,-,1,-,-,-
Player,-,-,잠깐… 자세히 보니… 여기 내가 원래 근무하던 곳...?,-,1,-,-,-
Narration,-,-,주변을 자세히 본다.,-,1,-,-,-
Narration,-,-,아무리 봐도 이곳은 내가 원래 근무하던 사무실이다.,-,1,-,-,-
Narration,-,-,갑자기 불안감이 몰려온다.,-,1,-,-,-
Narration,-,-,급하게 밖으로 나가본다.,-,1,-,-,-
Narration,-,-,새벽이라 사람은 거의 보이지 않는다.,-,2,-,-,-
Narration,-,-,하지만 한두 명 씩 지나가는 사람들은 전부 인간이다.,-,2,-,-,-
Narration,-,-,"수인도, 엘프도 다른 무엇도 아닌 인간.",-,2,-,-,-
Player,-,-,이게… 어떻게 된 거지…?,-,2,-,-,-
Narration,-,-,이세계가… 아닌 건가...?,-,2,-,-,-
Narration,-,-,정말 내가 원래 세계로 돌아온 건가?,-,2,-,-,-
Player,-,-,…,-,3,-,-,-
Narration,-,-,그렇게 며칠이 지났다.,-,3,-,-,-
Narration,-,-,역시나 이세계에서 살던 집은 존재하지 않았다.,-,4,-,-,-
Narration,-,-,그리고… 그녀도 존재하지 않았다.,-,4,-,-,-
Narration,-,-,"날 구해줬던, 내 첫사랑이었던 그녀는… 존재하지 않는다.",-,4,-,-,-
Narration,-,-,이세계에 갔던 것이 꿈이었을까...?,-,4,-,-,-
Narration,-,-,그녀는… 내가 만들어 낸 환상이었을까...?,-,4,-,-,-
Narration,-,-,"이세계가 정말로 존재했던 것인지, 아니면 나의 단순한 망상이었던 것인지... \n난 알 수 없었다.",-,4,-,-,-
Narration,-,-,그저… 원래의 생활로 돌아왔을 뿐이다.,-,4,-,-,-
Narration,-,-,"그녀에게 걸려오던 전화도, 그녀와 함께할 시간도. \n더 이상은 존재하지 않는다.",-,4,-,-,-
Narration,-,-,난…,-,4,-,-,-
Narration,-,-,다시 사랑을 찾을 자신이 없다.,-,4,-,-,-
Narration,-,-,[배드엔딩: 존재하지 않는 사랑],-,3,-,-,-
