Character,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect
Narration,-,-,"사무실 내부, 오후 늦은 시간",-,1,사무실,-
Narration,-,-,"인턴으로 일한 지 2개월쯤 지났을까. 이제 조금은 적응도 되고, \n지금 하는 일이 나랑 잘 맞는다는 생각도 든다.",-,1,-,-
Narration,-,-, 시간을 본다.,-,1,-,-
Player,-,-,...퇴근까지 10분 남았네.,-,1,-,-
Narration,-,-,"할 일이 끝난 지금, 잡생각이 밀려들기 시작한다.",-,1,-,-
Narration,-,-,이상하리만치… 나는 늘 이성과 연이 없었다.,-,1,-,-
Narration,-,-,"정확히는, 연이 없었다기보다는 아무에게도 설레지 않았다고 해야 할 것이다.",-,1,-,-
Narration,-,-,"이상형이 어떤 사람이냐는 말, 내게는 너무나도 어려운 질문이다.",-,1,-,-
Narration,-,-,"그런 나는 자연스레 전공 수업과 스펙 쌓기에 몰두했고, \n공학 계열 회사의 인턴 자리에서 일하는 중이다.",-,1,-,-
Player,-,-,나도… 연애란 걸 해보고 싶다…,-,1,-,-
Player,-,-,누군가에게 설레보고 싶다…,-,1,-,-
Narration,-,-,퇴근하라는 얘기에 사람들이 하나둘 퇴근하기 시작한다.,-,1,-,퇴근하는 소음
Player,-,-,퇴근이다…,-,1,-,-
Narration,-,-,횡단보도의 신호가 초록불로 바뀐다.,-,2,퇴근길,-
Narration,-,-,횡단보도를 건너기 시작한다.,-,2,-,-
Narration,-,-,자동차의 경적 소리가 들린다.,-,2,-,자동차 경적 타이어 소리
Player,-,-,…어?,-,2,-,-
Narration,-,-,쾅!,-,3,-,충격음
Player,-,-,나는...죽은건가...?,-,3,-,-
Narration,-,-,다시 한 번 경적 소리가 들린다.,-,3,-,자동차 경적 타이어 소리
Narration,-,-,누군가가 내 몸을 밀치는 느낌이 난다.,-,3,-,-
Narration,-,-,주변의 웅성거림이 들린다.,-,3,이세계 bgm,-
Narration,-,-,눈을 떠보니 내 몸 위에 있는 한 여성. \n밝은 햇빛에 눈이 부셔 여성의 얼굴이 잘 보이지 않는다.,-,4,-,-
Narration,s,-,당신이 본 여성의 모습은?,-,3,-,-
Narration,a,[Select: Route_Jin Yein],"금발의 긴 생머리와 조용한 미소를 가진 인간, 진예인",1_0,3,-,-
Narration,b,[Select: Route_Freyja Legato],"검은색 단발에 푸른색 시크릿투톤을 가진 귀가 쫑긋한 엘프, 프레이야",2_0,3,-,-
Narration,c,[Select: Route_Ru],"분홍색 트윈테일과 장난기 가득한 눈빛의 상어 수인, 루",3_0,3,-,-
