Character ,Switch,Switch Text,Script,SCG,Background,BGM,Sound Effect,Relationship
Narration,-,-,오늘 아침도 평소와 다를 바 없는 하루가 시작된다.,-,1,-,-,-
Narration,-,-,그렇지만 예전과는 많이 다른 하루.,-,1,-,-,-
Narration,-,-,내가 하루를 보내는 이곳은…,-,1,-,-,-
Narration,-,-,이세계'다.,-,1,-,-,-
Narration,-,-,"수인이나 엘프, 그 외에도 다양한 종족이 존재하는 세계.",-,1,-,-,-
Narration,-,-,"물론, 나와 같은 인간도 존재한다.",-,1,-,-,-
Narration,-,-,"이종족이 산다는 점을 제외하면, \n겉으로 보기에는 내가 살던 세계와 크게 다르지 않은 모습. ",-,1,-,-,-
Narration,-,-,"도시 안에서 바쁘게 살아가는 사람들, 수많은 차, 그 속에 있는 자연.",-,1,-,-,-
Narration,-,-,평범한 현대 사회처럼 보일 것이다.,-,1,-,-,-
Narration,-,-,하지만 이곳에는 '천재성'이라는 것이 존재한다.,-,1,-,-,-
Narration,-,-,나와 같은 전생자는 없는 엄청난 능력.,-,1,-,-,-
Narration,-,-,이곳에 사는 모두는 천재다.,-,1,-,-,-
Narration,-,-,"의학, 생물학, 바이올린, 게다가 정말 독특한 분야까지. \n다양한 천재들로 가득하다.",-,1,-,-,-
Narration,-,-,"내가 볼 때는 천재적인 재능도, 그 분야의 천재성을 가진 사람들에게는 \n어쩌면 평균적인 재능일지도 모른다. ",-,1,-,-,-
Narration,-,-,하지만 최근 나에게 중요한 것은 이곳이 이세계라는 사실이 아니다.,-,1,-,-,-
Narration,-,-,이세계에서 찾은 나의 첫사랑.,-,1,-,-,-
Narration,-,-,이세계에 갑자기 온 나를 구해준 그 사람이 가장 중요하다.,-,1,-,-,-
Narration,-,-,이전까지는 사실 날 의심하기도 했었다.,-,1,-,-,-
Narration,-,-,내 눈이 너무 높은가…?,-,1,-,-,-
Narration,-,-,이 정도면 난 평생 결혼 못할 거야… 아니… 결혼은 둘째치고 연애도…,-,1,-,-,-
Narration,-,-,그렇지만 이 세계에 온 순간 나는 깨달을 수 있었다.,-,1,-,-,-
Narration,-,-,내가 찾던 내 이상형은 이곳에 있었다고.,-,1,-,-,-
Narration,-,-,최근에는 그녀와 꽤 친해졌다.,-,1,-,-,-
Narration,-,-,자주 만나기도 하고 그녀의 일에 관해서도 얘기를 자주 나눈다.,-,1,-,-,-
Narration,-,-,언젠가... 나의 첫사랑인 그녀에게 꼭 고백할 것이다.,-,1,-,-,-
Narration,-,-,"하지만… 지금은 아니다. \n아직은 그녀도, 나도 서로를 더 알아가야 할 필요가 있다.",-,1,-,-,-
Narration,-,-,자주 나에게 연락해주는 그녀… 오늘도 연락이 올까?,-,1,-,-,-
Narration,-,-,스마트폰의 벨소리가 울린다.,-,1,-,-,-
Narration,-,-,[노말엔딩: 그녀와의 미래를 기대하며],-,2,-,-,-
